Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1,Time,LR
1,0.1811958200950909,0.8069527722081352,0.28333214678100704,0.8803221552373776,0.9203765628567208,2m 23s,0.001
2,0.14079712189029991,0.8599314469386617,0.2530571046154114,0.8969749165679837,0.9321625405376668,2m 29s,0.001
3,0.12855562327913647,0.8735603568757798,0.23844776571411447,0.902640219614598,0.9359417056240261,2m 32s,0.001
4,0.12171731934347373,0.8810317947022287,0.23359484509708955,0.9071213262999246,0.9391320451879746,2m 33s,0.001
5,0.11678312112408595,0.8864798983430767,0.23941914307087966,0.9059371299386371,0.9380752841538285,2m 35s,0.001
6,0.11296849451431139,0.8906044242292587,0.22059655501875272,0.9123560124878889,0.9428031966277334,2m 37s,0.001
7,0.10959375163129582,0.8937033455662549,0.22171757449603982,0.9133047152546022,0.9434632851407385,2m 39s,0.001
8,0.10727077656916863,0.8966100261255217,0.21270889581478747,0.9165612552481429,0.9458955956458193,2m 38s,0.001
9,0.1049804478905743,0.8983680680378561,0.21204179520254693,0.9185865001614814,0.9472730124976033,2m 35s,0.001
10,0.10280324591279734,0.901032525217184,0.21208608483325986,0.9162450209925719,0.9455587141919966,2m 35s,0.001
11,0.10115369041926983,0.9023032367579746,0.21290282480085837,0.9186268704919798,0.9471969961578763,2m 36s,0.001
12,0.09944584489411373,0.9040795415441932,0.20822125898603722,0.9185932285498978,0.9471176750833731,2m 35s,0.001
13,0.09829983455458964,0.9051186029478201,0.209848485912654,0.9194140919366993,0.9478087701485514,2m 36s,0.001
14,0.09703312460039779,0.9065882836935605,0.21083311659773601,0.9208270535041447,0.9489370381138773,2m 36s,0.001
15,0.09557575820468542,0.9079474259921065,0.20734148480228543,0.9207934115620626,0.9488316294596286,2m 35s,0.001
16,0.09450090867943886,0.9087577208702355,0.21240922276097066,0.91767143933685,0.9464512345624984,2m 35s,0.001
17,0.0936748487654868,0.9098986698860589,0.20694911782069714,0.9206857573474001,0.9486343750544681,2m 35s,0.001
18,0.09285904706536433,0.9102821902376288,0.21365836887425163,0.9204368069759931,0.9485916503275788,2m 35s,0.001
19,0.09181087997404667,0.9111501573490766,0.21000021665366655,0.9218699537086877,0.9496181881291218,2m 35s,0.001
20,0.09121429075222962,0.9118326121100155,0.20522220386672266,0.9219708795349338,0.9496721332818352,2m 35s,0.001
